CO_PROCEDIMENTO;no_proc_autorizado
04.01.02.001-0;ENXERTO COMPOSTO
04.01.02.002-9;ENXERTO DERMO-EPIDÉRMICO
04.01.02.003-7;ENXERTO LIVRE DE PELE TOTAL
04.01.02.004-5;EXCISÃO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )
04.01.02.005-3;EXCISÃO E SUTURA DE LESAO NA PELE C/ PLÁSTICA EM Z OU ROTAÇÃO DE RETALHO
04.01.02.006-1;EXÉRESE DE CISTO BRANQUIAL
04.01.02.007-0;EXÉRESE DE CISTO DERMOIDE
04.01.02.008-8;EXÉRESE DE CISTO SACRO-COCCIGEO
04.01.02.009-6;EXÉRESE DE CISTO TIREOGLOSSO
04.01.02.010-0;EXTIRPAÇÃOE SUPRESSÃO DE LESÃO DE PELE E DE TECIDO CELULAR SUBCUTÂNEO
04.01.02.011-8;HOMOENXERTIA (ATO CIRÚRGICO PRE E PÓS-OPERATÓRIO)
04.01.02.014-2;TRATAMENTO CIRÚRGICO DE HIPERCERATOSE PLANTAR (C/ CORREÇÃO PLÁSTICA)
04.01.02.015-0;TRATAMENTO CIRÚRGICO DO SINUS PRÉ-AURICULAR
04.01.02.016-9;TRATAMENTO EM ESTÁGIOS SUBSEQUENTES DE ENXERTIA
04.02.01.001-9;EXTIRPAÇÃO DE BÓCIO INTRATORÁCICO POR VIA TRANSESTERNAL
04.02.01.002-7;PARATIREOIDECTOMIA
04.02.01.003-5;TIREOIDECTOMIA PARCIAL
04.02.01.004-3;TIREOIDECTOMIA TOTAL
04.02.01.005-1;TIREOIDECTOMIA TOTAL COM ESVAZIAMENTO GANGLIONAR
04.02.02.001-4;SUPRARRENALECTOMIA BILATERAL
04.02.02.002-2;SUPRARRENALECTOMIA UNILATERAL
04.03.01.001-2;CRANIOPLÁSTIA
04.03.01.004-7;CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFÁLICO
04.03.01.005-5;CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFÁLICO (COM TÉCNICA COMPLEMENTAR)
04.03.01.006-3;CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO
04.03.01.007-1;CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TÉCNICA COMPLEMENTAR)
04.03.01.008-0;DERIVAÇÃO RAQUE-PERITONEAL
04.03.01.009-8;DERIVAÇÃO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA
04.03.01.010-1;DERIVAÇÃO VENTRICULAR PARA PERITÔNEO / ÁTRIO / PLEURA / RAQUE
04.03.01.011-0;DESCOMPRESSÃO DE ORBITA POR DOENÇA OU TRAUMA
04.03.01.012-8;MICROCIRURGIA CEREBRAL ENDOSCOPICA
04.03.01.013-6;MICROCIRURGIA DA SIRINGOMIELIA
04.03.01.014-4;RECONSTRUÇÃO CRANIANA / CRÂNIO-FACIAL
04.03.01.015-2;RESSECÇÃO DE MUCOCELE FRONTAL
04.03.01.016-0;RETIRADA DE DERIVAÇÃO VENTRICULAR PARA PERITONEO / ÁTRIO / PLEURA / RAQUE
04.03.01.017-9;RETIRADA DE PLACA DE CRANIOPLÁSTIA
04.03.01.018-7;REVISÃO DE DERIVAÇÃO VENTRICULAR PARA PERITÔNEO / ÁTRIO / PLEURA / RAQUE
04.03.01.020-9;TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COM SUTURA ÚNICA
04.03.01.021-7;TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COMPLEXA
04.03.01.022-5;TRATAMENTO CIRÚRGICO DE DISRAFISMO ABERTO
04.03.01.023-3;TRATAMENTO CIRÚRGICO DE DISRAFISMO OCULTO
04.03.01.024-1;TRATAMENTO CIRÚRGICO DE FÍSTULA LIQUORICA CRANIANA
04.03.01.025-0;TRATAMENTO CIRÚRGICO DE FISTULA LIQUORICA RAQUIDIANA
04.03.01.032-2;TRATAMENTO CIRÚRGICO DE OSTEOMIELITE DO CRÂNIO
04.03.01.033-0;TRATAMENTO CIRÚRGICO DE PLATIBASIA E MALFORMAÇÃO DE ARNOLD CHIARI
04.03.01.035-7;TREPANAÇÃO CRANIANA PARA PUNÇÃO OU BIÓPSIA (COM TÉCNICA COMPLEMENTAR)
04.03.01.036-5;TREPANAÇÃO CRANIANA PARA PUNÇÃO OU BIÓPSIA
04.03.01.039-0;DRENAGEM LIQUÓRICA LOMBAR EXTERNA
04.03.02.001-8;ENXERTO MICROCIRÚRGICO DE NERVO PERIFÉRICO (2 OU MAIS NERVOS)
04.03.02.002-6;ENXERTO MICROCIRÚRGICO DE NERVO PERIFÉRICO (ÚNICO NERVO)
04.03.02.003-4;MICROCIRURGIA DE PLEXO BRAQUIAL COM EXPLORAÇÃO E NEUROLISE
04.03.02.004-2;MICROCIRURGIA DE PLEXO BRAQUIAL COM MICROENXERTIA
04.03.02.005-0;MICRONEUROLISE DE NERVO PERIFÉRICO
04.03.02.006-9;MICRONEURORRAFIA
04.03.02.007-7;NEUROLISE NÃO FUNCIONAL DE NERVOS PERIFERICOS
04.03.02.008-5;NEURORRAFIA
04.03.02.009-3;NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS
04.03.02.010-7;TRANSPOSIÇÃO DO NERVO CUBITAL
04.03.02.011-5;TRATAMENTO CIRÚRGICO DE NEUROPATIA COMPRESSIVA COM OU SEM MICROCIRÚRGIA
04.03.02.012-3;TRATAMENTO CIRÚRGICO DE SINDROME COMPRESSIVA EM TÚNEL OSTEO-FIBROSO AO NÍVEL DO CARPO
04.03.02.013-1;TRATAMENTO MICROCIRÚRGICO DE TUMOR DE NERVO PERIFÉRICO / NEUROMA
04.03.03.001-3;CRANIOTOMIA PARA BIOPSIA ENCEFÁLICA
04.03.03.002-1;CRANIOTOMIA PARA BIOPSIA ENCEFÁLICA (COM TÉCNICA COMPLEMENTAR)
04.03.03.003-0;CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR
04.03.03.004-8;CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO
04.03.03.005-6;CRANIECTOMIA POR TUMOR OSSEO
04.03.03.006-4;HIPOFISECTOMIA TRANSESFENOIDAL POR TÉCNICA COMPLEMENTAR
04.03.03.008-0;MICROCIRURGIA DE TUMOR INTRADURAL E EXTRAMEDULAR
04.03.03.009-9;MICROCIRURGIA DE TUMOR MEDULAR COM TÉCNICA COMPLEMENTAR
04.03.03.010-2;MICROCIRURGIA DE TUMOR MEDULAR
04.03.03.011-0;MICROCIRURGIA PARA BIOPSIA DE MEDULA ESPINHAL OU RAIZES
04.03.03.012-9;MICROCIRURGIA PARA TUMOR DA BASE DO CRÂNIO
04.03.03.013-7;MICROCIRURGIA PARA TUMOR DE ÓRBITA
