capitulo;cap_fx;cap_nm;grupo;grp_nm;categoria;cat_nm;subcategoria;subcat_nm
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A00;Doenças infecciosas intestinais;A000;A00.0 Colera dev Vibrio cholerae 01 biot cholerae
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A00;Doenças infecciosas intestinais;A001;A00.1 Colera dev Vibrio cholerae 01 biot El Tor
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A00;Doenças infecciosas intestinais;A009;A00.9 Colera NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A01;Doenças infecciosas intestinais;A010;A01.0 Febre tifoide
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A01;Doenças infecciosas intestinais;A011;A01.1 Febre paratifoide A
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A01;Doenças infecciosas intestinais;A012;A01.2 Febre paratifoide B
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A01;Doenças infecciosas intestinais;A013;A01.3 Febre paratifoide C
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A01;Doenças infecciosas intestinais;A014;A01.4 Febre paratifoide NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A02;Doenças infecciosas intestinais;A020;A02.0 Enterite p/salmonela
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A02;Doenças infecciosas intestinais;A021;A02.1 Septicemia p/salmonela
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A02;Doenças infecciosas intestinais;A022;A02.2 Infecc localizadas p/salmonela
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A02;Doenças infecciosas intestinais;A028;A02.8 Outr infecc espec p/salmonela
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A02;Doenças infecciosas intestinais;A029;A02.9 Infecc NE p/salmonela
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A03;Doenças infecciosas intestinais;A030;A03.0 Shiguelose dev Shigella dysenteriae
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A03;Doenças infecciosas intestinais;A031;A03.1 Shiguelose dev Shigella flexneri
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A03;Doenças infecciosas intestinais;A032;A03.2 Shiguelose dev Shigella boydii
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A03;Doenças infecciosas intestinais;A033;A03.3 Shiguelose dev Shigella sonnei
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A03;Doenças infecciosas intestinais;A038;A03.8 Outr shigueloses
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A03;Doenças infecciosas intestinais;A039;A03.9 Shiguelose NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A040;A04.0 Infecc p/Escherichia coli enteropatogenica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A041;A04.1 Infecc p/Escherichia coli enterotoxigenica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A042;A04.2 Infecc p/Escherichia coli enteroinvasiva
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A043;A04.3 Infecc p/Escherichia coli enterohemorragica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A044;A04.4 Outr infecc intestinais p/Escherichia coli
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A045;A04.5 Enterite p/Campylobacter
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A046;A04.6 Enterite dev Yersinia enterocolitica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A047;A04.7 Enterocolite dev Clostridium difficile
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A048;A04.8 Outr infecc bacter intestinais espec
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A04;Doenças infecciosas intestinais;A049;A04.9 Infecc intestinal bacter NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A05;Doenças infecciosas intestinais;A050;A05.0 Intox alimentar estafilococica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A05;Doenças infecciosas intestinais;A051;A05.1 Botulismo
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A05;Doenças infecciosas intestinais;A052;A05.2 Intox alimentar dev Clostridium perfringens
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A05;Doenças infecciosas intestinais;A053;A05.3 Intox alimentar dev Vibrio parahemolyticus
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A05;Doenças infecciosas intestinais;A054;A05.4 Intox alimentar dev Bacillus cereus
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A05;Doenças infecciosas intestinais;A058;A05.8 Outr intox alimentares bacter espec
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A05;Doenças infecciosas intestinais;A059;A05.9 Intox alimentar bacter NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A060;A06.0 Disenteria amebiana aguda
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A061;A06.1 Amebiase intestinal cronica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A062;A06.2 Colite amebiana nao-disenterica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A063;A06.3 Ameboma intestinal
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A064;A06.4 Abscesso amebiano do figado
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A065;A06.5 Abscesso amebiano do pulmao
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A066;A06.6 Abscesso amebiano do cerebro
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A067;A06.7 Amebiase cutanea
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A068;A06.8 Infecc amebiana de outr localiz
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A06;Doenças infecciosas intestinais;A069;A06.9 Amebiase NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A07;Doenças infecciosas intestinais;A070;A07.0 Balantidiase
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A07;Doenças infecciosas intestinais;A071;A07.1 Giardiase
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A07;Doenças infecciosas intestinais;A072;A07.2 Criptosporidiose
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A07;Doenças infecciosas intestinais;A073;A07.3 Isosporiase
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A07;Doenças infecciosas intestinais;A078;A07.8 Outr doenc intestinais espec p/protozoarios
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A07;Doenças infecciosas intestinais;A079;A07.9 Doenc intestinal NE p/protozoarios
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A08;Doenças infecciosas intestinais;A080;A08.0 Enterite p/rotavirus
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A08;Doenças infecciosas intestinais;A081;A08.1 Gastroenteropatia aguda p/agente de Norwalk
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A08;Doenças infecciosas intestinais;A082;A08.2 Enterite p/adenovirus
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A08;Doenças infecciosas intestinais;A083;A08.3 Outr enterites virais
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A08;Doenças infecciosas intestinais;A084;A08.4 Infecc intestinal dev virus NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A00-A09;Doenças infecciosas intestinais;A08;Doenças infecciosas intestinais;A085;A08.5 Outr infecc intestinais espec
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A150;A15.0 Tuberc pulm c/conf p/ex micr expec c/s/cult
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A151;A15.1 Tuberc pulmonar c/conf somente p/cultura
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A152;A15.2 Tuberc pulmonar c/conf histolog
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A153;A15.3 Tuberc pulmonar c/conf p/meio NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A154;A15.4 Tuberc gangl intrator c/conf bacter e histol
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A155;A15.5 Tuberc laring traq bronq c/conf bact e hist
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A156;A15.6 Pleuris tuberc c/conf bacteriol e histolog
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A157;A15.7 Tuberc prim vias respir c/conf bact e histol
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A158;A15.8 Outr form tuberc via resp c/conf bact hist
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A15;Tuberculose;A159;A15.9 Tuberc NE vias respir c/conf bacter histol
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A160;A16.0 Tuberc pulmonar c/exames bact e hist negat
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A161;A16.1 Tuberc pulmonar s/exame bacter ou histolog
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A162;A16.2 Tuberc pulmonar s/menc conf bact ou hist
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A163;A16.3 Tuberc gangl intrat s/menc conf bact hist
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A164;A16.4 Tuberc laring traq bronq s/menc bact hist
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A165;A16.5 Pleurisia tuberc s/menc conf bact ou histol
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A167;A16.7 Tuberc respir prim s/menc conf bact ou hist
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A168;A16.8 Outr tuber via resp s/menc conf bact hist
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A16;Tuberculose;A169;A16.9 Tuberc respirat NE s/menc conf bact ou hist
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A17;Tuberculose;A170;A17.0 Meningite tuberc
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A17;Tuberculose;A171;A17.1 Tuberculoma meningeo
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A17;Tuberculose;A178;A17.8 Outr tuberc do sist nervoso
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A17;Tuberculose;A179;A17.9 Tuberc NE do sist nervoso
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A180;A18.0 Tuberc ossea e das articulacoes
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A181;A18.1 Tuberc do aparelho geniturinario
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A182;A18.2 Linfadenopatia tuberc periferica
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A183;A18.3 Tuberc intestino peritonio gangl mesenter
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A184;A18.4 Tuberc de pele e tec celular subcutaneo
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A185;A18.5 Tuberc do olho
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A186;A18.6 Tuberc do ouvido
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A187;A18.7 Tuberc das supra-renais
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A18;Tuberculose;A188;A18.8 Tuberc de outr orgaos espec
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A19;Tuberculose;A190;A19.0 Tuberc miliar aguda de localiz unica espec
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A19;Tuberculose;A191;A19.1 Tuberc miliar aguda de mult localiz
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A19;Tuberculose;A192;A19.2 Tuberc miliar aguda NE
1;A00-B99;I.   Algumas doenças infecciosas e parasitárias;A15-A19;Tuberculose;A19;Tuberculose;A198;A19.8 Outr tuberc miliares
